Seed, Checksum, Random Portals Setting (Total Greens + Reds, D[IJLTZ], N[LZ])
1898901026, FFFD03B7, Standard Portals (16, 1 3 2 2 2, 4 2)
1907450803, 695CDB10, Standard Portals (20, 1 4 2 2 2, 4 5)
1912130087, 01B61B88, Standard Portals (24, 1 3 2 2 3, 8 5)
1916094967, 37757EA7, Standard Portals (19, 1 3 2 3 2, 5 3)
1935112000, 43E9CD4B, Standard Portals (21, 1 3 3 2 2, 6 4)
1937082530, 3BB48DD0, Standard Portals (21, 1 4 2 2 2, 8 2)
1937521135, 6D7531CB, Standard Portals (17, 1 3 2 2 2, 4 3)
1939370551, 122A8128, Standard Portals (25, 1 3 3 2 2, 10 4)
1940150840, F4F25308, Standard Portals (20, 1 3 2 2 2, 7 3)
1943026330, F870BB04, Standard Portals (21, 1 3 3 2 2, 6 4)
1950850659, 89C800E8, Standard Portals (19, 1 4 2 2 2, 6 2)
1957068251, 21DEE456, Standard Portals (26, 1 5 2 2 2, 8 6)
1958681775, B199D7D5, Standard Portals (27, 1 5 2 3 3, 9 4)
1961411277, F5A4CDB6, Standard Portals (19, 1 3 2 4 2, 3 4)
1962565780, DE3F89E1, Standard Portals (20, 1 3 2 3 2, 5 4)
1966527825, 4FAA8DB6, Standard Portals (20, 1 3 2 2 2, 7 3)
1968430900, 911BDE71, Standard Portals (19, 1 3 2 3 3, 4 3)
1969454924, B3CD1263, Standard Portals (21, 1 3 2 2 3, 8 2)
1973705463, AA6DE7D7, Standard Portals (17, 1 3 2 2 2, 3 4)
1989542109, 9446D6C4, Standard Portals (21, 1 3 2 3 2, 8 2)
1992444651, 2360FDE6, Standard Portals (22, 1 3 2 3 2, 6 5)
2005907819, 039376F5, Standard Portals (19, 1 3 2 2 3, 5 3)
2009711656, E241850D, Standard Portals (20, 1 3 2 2 2, 4 6)
2016797477, 43B0DF4A, Standard Portals (20, 1 3 2 3 2, 7 2)
2032539665, 6E02E0A8, Standard Portals (19, 1 4 2 2 2, 6 2)
2039244671, 162AE5FC, Standard Portals (17, 1 3 2 2 2, 4 3)
2039383368, 201E5BD4, Standard Portals (21, 1 3 2 2 2, 6 5)
2039879875, 8D45B593, Standard Portals (19, 1 3 2 3 2, 6 2)
2043168175, 17E524BD, Standard Portals (23, 1 4 3 2 2, 9 2)
2044018561, 6614E922, Standard Portals (22, 1 3 3 3 2, 7 3)
2053343499, 373799DD, Standard Portals (22, 1 3 2 4 2, 8 2)
2064851683, 01D64360, Standard Portals (21, 1 3 3 2 2, 8 2)
2096597876, AE59625D, Standard Portals (22, 1 3 2 3 2, 7 4)
2112638678, 79D57515, Standard Portals (25, 1 3 2 2 3, 8 6)
2118191555, 7A1177EB, Standard Portals (19, 1 3 2 2 4, 5 2)
2131284985, 41338A77, Standard Portals (17, 1 3 2 3 2, 2 4)
2136293183, 11B06162, Standard Portals (20, 1 4 3 2 2, 5 3)
2145030807, 4A727E8A, Standard Portals (22, 1 4 2 2 2, 7 4)
21858199, CB0DA837, Random Portals (23, 1 3 2 3 2, 7 5)
23231359, D12B0F8D, Random Portals (23, 1 3 3 3 2, 6 5)
40149201, D0DB90E9, Random Portals (21, 1 3 2 2 3, 7 3)
41141362, DFEFE9D7, Random Portals (22, 1 3 3 3 2, 6 4)
42349596, C1129CFE, Random Portals (26, 1 3 2 3 2, 10 5)
63146973, 0115AAAB, Random Portals (20, 1 3 2 3 2, 4 5)
69160521, D5165FDA, Random Portals (21, 1 3 2 2 2, 7 4)
82401111, 51D68136, Random Portals (22, 1 3 2 4 2, 7 3)
90722254, 3CD7A841, Random Portals (19, 1 4 2 2 2, 5 3)
100920188, 4039CDAD, Random Portals (21, 1 3 2 2 2, 6 5)
110806413, 0002FD12, Random Portals (22, 1 4 2 2 3, 6 4)
114788476, 169F0781, Random Portals (21, 1 3 2 3 3, 6 3)
117592647, 2BF90AC5, Random Portals (21, 1 3 3 3 2, 5 4)
130026414, 3F0EAFB8, Random Portals (21, 1 3 2 2 2, 8 3)
130733831, 92F0EBFA, Random Portals (21, 1 3 2 2 2, 6 5)
157585694, 25909632, Random Portals (21, 1 3 2 2 2, 7 4)
222780676, 20518D57, Random Portals (22, 1 3 2 2 2, 8 4)
225559317, 49F8C0E2, Random Portals (24, 1 3 3 2 3, 8 4)
229197924, DAD7B2A1, Random Portals (22, 1 3 2 2 2, 7 5)
245339016, E8FAB784, Random Portals (20, 1 4 2 3 2, 5 3)
252299310, A063F79F, Random Portals (21, 1 3 2 2 2, 5 6)
256883909, C71ECAE2, Random Portals (21, 1 3 2 3 2, 7 3)
281212343, 4FCAD25A, Random Portals (21, 1 3 2 3 3, 5 4)
286998567, D7EA85E2, Random Portals (21, 1 3 2 4 2, 6 3)
294484545, 314A8580, Random Portals (21, 1 3 2 2 2, 7 4)
301808573, B85914EF, Random Portals (22, 1 3 2 2 2, 7 5)
313094798, DDA964E1, Random Portals (18, 1 3 2 2 2, 4 4)
361321692, B012A86C, Random Portals (22, 1 3 3 2 2, 7 4)
385708749, C34B2F89, Random Portals (20, 1 3 2 2 2, 7 3)
390164100, 4C2ADCAC, Random Portals (23, 1 3 2 3 2, 8 4)
443538515, 610934DD, Random Portals (22, 1 3 2 3 3, 8 2)
456575207, 975057AE, Random Portals (20, 1 3 3 2 2, 5 4)
475839027, E4574E95, Random Portals (21, 1 3 2 3 4, 6 2)
485532825, A941313B, Random Portals (18, 1 3 2 2 2, 6 2)
491059824, AE46F952, Random Portals (19, 1 3 2 2 3, 5 3)
494669040, CC4392F9, Random Portals (19, 1 3 2 2 2, 7 2)
498239062, FEC45132, Random Portals (21, 1 3 2 2 2, 6 5)
506554614, 9F586E14, Random Portals (22, 1 4 2 2 2, 6 5)
550271164, CEDD8529, Random Portals (19, 1 3 2 4 2, 4 3)
555747596, 0F4E9254, Random Portals (26, 1 4 2 4 2, 8 5)
568695497, 86A7A51F, Random Portals (19, 1 3 2 2 2, 7 2)
583325429, 07AD2433, Random Portals (19, 1 3 2 2 2, 6 3)
587582364, 1595639F, Random Portals (18, 1 4 2 2 2, 4 3)
601766544, FAE85792, Random Portals (23, 1 3 2 3 3, 8 3)
607448797, F227D99B, Random Portals (22, 1 3 3 2 2, 6 5)
609788163, 01146206, Random Portals (19, 1 3 2 2 2, 6 3)
630391599, 57A763E5, Random Portals (21, 1 3 2 2 2, 7 4)
637928418, CCD1D805, Random Portals (19, 1 3 2 3 2, 6 2)
655160590, C2305124, Random Portals (20, 1 3 2 2 2, 5 5)
